,Folds
0,1.2.276.0.7230010.3.1.4.8323329.10173.1517875222.480007
1,1.2.276.0.7230010.3.1.4.8323329.32059.1517875158.232613
2,1.2.276.0.7230010.3.1.4.8323329.2506.1517875173.79553
3,1.2.276.0.7230010.3.1.4.8323329.1878.1517875170.40847
4,1.2.276.0.7230010.3.1.4.8323329.13597.1517875246.803741
5,1.2.276.0.7230010.3.1.4.8323329.12076.1517875237.250640
6,1.2.276.0.7230010.3.1.4.8323329.1546.1517875168.319844
7,1.2.276.0.7230010.3.1.4.8323329.10031.1517875221.31204
8,1.2.276.0.7230010.3.1.4.8323329.432.1517875162.913455
9,1.2.276.0.7230010.3.1.4.8323329.11986.1517875236.774021
10,1.2.276.0.7230010.3.1.4.8323329.12397.1517875238.967050
11,1.2.276.0.7230010.3.1.4.8323329.4981.1517875185.834231
12,1.2.276.0.7230010.3.1.4.8323329.10557.1517875224.257683
13,1.2.276.0.7230010.3.1.4.8323329.3405.1517875177.691392
14,1.2.276.0.7230010.3.1.4.8323329.2794.1517875174.774975
15,1.2.276.0.7230010.3.1.4.8323329.1774.1517875169.362466
16,1.2.276.0.7230010.3.1.4.8323329.1075.1517875166.202853
17,1.2.276.0.7230010.3.1.4.8323329.2141.1517875171.331576
18,1.2.276.0.7230010.3.1.4.8323329.13728.1517875247.428221
19,1.2.276.0.7230010.3.1.4.8323329.10361.1517875223.364492
20,1.2.276.0.7230010.3.1.4.8323329.12500.1517875239.422462
21,1.2.276.0.7230010.3.1.4.8323329.403.1517875162.798239
22,1.2.276.0.7230010.3.1.4.8323329.2219.1517875171.688710
23,1.2.276.0.7230010.3.1.4.8323329.11932.1517875236.508586
24,1.2.276.0.7230010.3.1.4.8323329.13113.1517875243.697539
25,1.2.276.0.7230010.3.1.4.8323329.480.1517875163.138840
26,1.2.276.0.7230010.3.1.4.8323329.11701.1517875234.373651
27,1.2.276.0.7230010.3.1.4.8323329.10720.1517875225.284263
28,1.2.276.0.7230010.3.1.4.8323329.4051.1517875180.870902
29,1.2.276.0.7230010.3.1.4.8323329.3629.1517875178.744048
30,1.2.276.0.7230010.3.1.4.8323329.13923.1517875248.654286
31,1.2.276.0.7230010.3.1.4.8323329.5706.1517875189.700220
32,1.2.276.0.7230010.3.1.4.8323329.10680.1517875225.30484
33,1.2.276.0.7230010.3.1.4.8323329.3140.1517875176.297522
34,1.2.276.0.7230010.3.1.4.8323329.31647.1517875156.72602
35,1.2.276.0.7230010.3.1.4.8323329.13744.1517875247.692138
36,1.2.276.0.7230010.3.1.4.8323329.4890.1517875185.287098
37,1.2.276.0.7230010.3.1.4.8323329.4354.1517875182.433930
38,1.2.276.0.7230010.3.1.4.8323329.13505.1517875245.623443
39,1.2.276.0.7230010.3.1.4.8323329.11214.1517875231.752913
40,1.2.276.0.7230010.3.1.4.8323329.32007.1517875157.982809
41,1.2.276.0.7230010.3.1.4.8323329.5094.1517875186.388289
42,1.2.276.0.7230010.3.1.4.8323329.10156.1517875222.384521
43,1.2.276.0.7230010.3.1.4.8323329.4829.1517875185.28029
44,1.2.276.0.7230010.3.1.4.8323329.3978.1517875180.492786
45,1.2.276.0.7230010.3.1.4.8323329.32328.1517875160.60457
46,1.2.276.0.7230010.3.1.4.8323329.11410.1517875232.807205
47,1.2.276.0.7230010.3.1.4.8323329.11797.1517875234.898478
48,1.2.276.0.7230010.3.1.4.8323329.5660.1517875189.354560
49,1.2.276.0.7230010.3.1.4.8323329.3597.1517875178.625969
50,1.2.276.0.7230010.3.1.4.8323329.1525.1517875168.230589
51,1.2.276.0.7230010.3.1.4.8323329.5258.1517875187.205079
52,1.2.276.0.7230010.3.1.4.8323329.2941.1517875175.444230
53,1.2.276.0.7230010.3.1.4.8323329.31866.1517875157.219023
54,1.2.276.0.7230010.3.1.4.8323329.3581.1517875178.551671
55,1.2.276.0.7230010.3.1.4.8323329.2489.1517875173.17373
56,1.2.276.0.7230010.3.1.4.8323329.3286.1517875177.92692
57,1.2.276.0.7230010.3.1.4.8323329.31870.1517875157.251852
58,1.2.276.0.7230010.3.1.4.8323329.13286.1517875244.519570
59,1.2.276.0.7230010.3.1.4.8323329.11149.1517875231.412560
60,1.2.276.0.7230010.3.1.4.8323329.32740.1517875162.113811
61,1.2.276.0.7230010.3.1.4.8323329.13355.1517875244.795678
62,1.2.276.0.7230010.3.1.4.8323329.11212.1517875231.744290
63,1.2.276.0.7230010.3.1.4.8323329.32590.1517875161.376601
64,1.2.276.0.7230010.3.1.4.8323329.1262.1517875167.11459
65,1.2.276.0.7230010.3.1.4.8323329.4439.1517875182.866025
66,1.2.276.0.7230010.3.1.4.8323329.1867.1517875169.972736
67,1.2.276.0.7230010.3.1.4.8323329.14498.1517875252.402631
68,1.2.276.0.7230010.3.1.4.8323329.12781.1517875241.802291
69,1.2.276.0.7230010.3.1.4.8323329.11638.1517875234.50689
70,1.2.276.0.7230010.3.1.4.8323329.32353.1517875160.175087
71,1.2.276.0.7230010.3.1.4.8323329.10358.1517875223.346264
72,1.2.276.0.7230010.3.1.4.8323329.11321.1517875232.313040
73,1.2.276.0.7230010.3.1.4.8323329.10395.1517875223.513440
74,1.2.276.0.7230010.3.1.4.8323329.32382.1517875160.313844
75,1.2.276.0.7230010.3.1.4.8323329.12974.1517875242.810717
76,1.2.276.0.7230010.3.1.4.8323329.12454.1517875239.191587
77,1.2.276.0.7230010.3.1.4.8323329.10645.1517875224.708994
78,1.2.276.0.7230010.3.1.4.8323329.13681.1517875247.197556
79,1.2.276.0.7230010.3.1.4.8323329.4664.1517875184.31466
80,1.2.276.0.7230010.3.1.4.8323329.4188.1517875181.583930
81,1.2.276.0.7230010.3.1.4.8323329.1370.1517875167.425534
82,1.2.276.0.7230010.3.1.4.8323329.32696.1517875161.855596
83,1.2.276.0.7230010.3.1.4.8323329.14071.1517875249.480171
84,1.2.276.0.7230010.3.1.4.8323329.11264.1517875232.34678
85,1.2.276.0.7230010.3.1.4.8323329.10316.1517875223.125686
86,1.2.276.0.7230010.3.1.4.8323329.31931.1517875157.544963
87,1.2.276.0.7230010.3.1.4.8323329.11548.1517875233.551045
88,1.2.276.0.7230010.3.1.4.8323329.10425.1517875223.660376
89,1.2.276.0.7230010.3.1.4.8323329.14054.1517875249.366411
90,1.2.276.0.7230010.3.1.4.8323329.4616.1517875183.755162
91,1.2.276.0.7230010.3.1.4.8323329.3209.1517875176.611814
92,1.2.276.0.7230010.3.1.4.8323329.12962.1517875242.751018
93,1.2.276.0.7230010.3.1.4.8323329.31894.1517875157.356829
94,1.2.276.0.7230010.3.1.4.8323329.31966.1517875157.747846
95,1.2.276.0.7230010.3.1.4.8323329.1904.1517875170.166808
96,1.2.276.0.7230010.3.1.4.8323329.2964.1517875175.475086
97,1.2.276.0.7230010.3.1.4.8323329.3902.1517875180.48607
98,1.2.276.0.7230010.3.1.4.8323329.5253.1517875187.189874
99,1.2.276.0.7230010.3.1.4.8323329.31641.1517875156.38707
100,1.2.276.0.7230010.3.1.4.8323329.10289.1517875222.540
101,1.2.276.0.7230010.3.1.4.8323329.32006.1517875157.976665
102,1.2.276.0.7230010.3.1.4.8323329.3671.1517875178.945936
103,1.2.276.0.7230010.3.1.4.8323329.12362.1517875238.799884
104,1.2.276.0.7230010.3.1.4.8323329.13232.1517875244.243032
105,1.2.276.0.7230010.3.1.4.8323329.2113.1517875171.230140
106,1.2.276.0.7230010.3.1.4.8323329.14308.1517875250.683150
107,1.2.276.0.7230010.3.1.4.8323329.4946.1517875185.612726
108,1.2.276.0.7230010.3.1.4.8323329.32218.1517875159.68275
109,1.2.276.0.7230010.3.1.4.8323329.11106.1517875231.182166
110,1.2.276.0.7230010.3.1.4.8323329.32262.1517875159.289880
111,1.2.276.0.7230010.3.1.4.8323329.11422.1517875232.865125
112,1.2.276.0.7230010.3.1.4.8323329.12225.1517875238.56611
113,1.2.276.0.7230010.3.1.4.8323329.32619.1517875161.506662
114,1.2.276.0.7230010.3.1.4.8323329.3546.1517875178.336593
115,1.2.276.0.7230010.3.1.4.8323329.12128.1517875237.555681
116,1.2.276.0.7230010.3.1.4.8323329.10719.1517875225.274048
117,1.2.276.0.7230010.3.1.4.8323329.4637.1517875183.903722
118,1.2.276.0.7230010.3.1.4.8323329.1640.1517875168.702472
119,1.2.276.0.7230010.3.1.4.8323329.4869.1517875185.177643
120,1.2.276.0.7230010.3.1.4.8323329.10797.1517875225.664914
121,1.2.276.0.7230010.3.1.4.8323329.4073.1517875180.986767
122,1.2.276.0.7230010.3.1.4.8323329.5413.1517875187.979328
123,1.2.276.0.7230010.3.1.4.8323329.5210.1517875186.987945
124,1.2.276.0.7230010.3.1.4.8323329.13725.1517875247.405193
125,1.2.276.0.7230010.3.1.4.8323329.14481.1517875252.317268
126,1.2.276.0.7230010.3.1.4.8323329.12820.1517875242.12046
127,1.2.276.0.7230010.3.1.4.8323329.398.1517875162.768699
128,1.2.276.0.7230010.3.1.4.8323329.1190.1517875166.710435
129,1.2.276.0.7230010.3.1.4.8323329.5314.1517875187.603192
130,1.2.276.0.7230010.3.1.4.8323329.14467.1517875252.239527
131,1.2.276.0.7230010.3.1.4.8323329.14431.1517875252.82936
132,1.2.276.0.7230010.3.1.4.8323329.4373.1517875182.554858
133,1.2.276.0.7230010.3.1.4.8323329.11454.1517875233.21630
134,1.2.276.0.7230010.3.1.4.8323329.14306.1517875250.681247
135,1.2.276.0.7230010.3.1.4.8323329.12897.1517875242.426825
136,1.2.276.0.7230010.3.1.4.8323329.3477.1517875178.7766
137,1.2.276.0.7230010.3.1.4.8323329.2349.1517875172.293273
138,1.2.276.0.7230010.3.1.4.8323329.1909.1517875170.188918
139,1.2.276.0.7230010.3.1.4.8323329.11661.1517875234.195400
140,1.2.276.0.7230010.3.1.4.8323329.4098.1517875181.106050
141,1.2.276.0.7230010.3.1.4.8323329.11229.1517875231.823685
142,1.2.276.0.7230010.3.1.4.8323329.2009.1517875170.674437
143,1.2.276.0.7230010.3.1.4.8323329.5667.1517875189.400199
144,1.2.276.0.7230010.3.1.4.8323329.2112.1517875171.227092
145,1.2.276.0.7230010.3.1.4.8323329.31660.1517875156.198907
146,1.2.276.0.7230010.3.1.4.8323329.2447.1517875172.804337
147,1.2.276.0.7230010.3.1.4.8323329.12345.1517875238.693725
148,1.2.276.0.7230010.3.1.4.8323329.13486.1517875245.544172
149,1.2.276.0.7230010.3.1.4.8323329.4290.1517875182.140612
150,1.2.276.0.7230010.3.1.4.8323329.32509.1517875160.934156
151,1.2.276.0.7230010.3.1.4.8323329.561.1517875163.435980
152,1.2.276.0.7230010.3.1.4.8323329.1076.1517875166.212353
153,1.2.276.0.7230010.3.1.4.8323329.5381.1517875187.848196
154,1.2.276.0.7230010.3.1.4.8323329.13994.1517875249.36683
155,1.2.276.0.7230010.3.1.4.8323329.12115.1517875237.449310
156,1.2.276.0.7230010.3.1.4.8323329.2028.1517875170.776571
157,1.2.276.0.7230010.3.1.4.8323329.13631.1517875246.946963
158,1.2.276.0.7230010.3.1.4.8323329.2699.1517875174.110570
159,1.2.276.0.7230010.3.1.4.8323329.13477.1517875245.501552
160,1.2.276.0.7230010.3.1.4.8323329.4741.1517875184.511107
161,1.2.276.0.7230010.3.1.4.8323329.4365.1517875182.491480
162,1.2.276.0.7230010.3.1.4.8323329.376.1517875162.629466
163,1.2.276.0.7230010.3.1.4.8323329.12899.1517875242.436844
164,1.2.276.0.7230010.3.1.4.8323329.3937.1517875180.208198
165,1.2.276.0.7230010.3.1.4.8323329.12044.1517875237.82459
166,1.2.276.0.7230010.3.1.4.8323329.10790.1517875225.641224
167,1.2.276.0.7230010.3.1.4.8323329.2983.1517875175.550568
168,1.2.276.0.7230010.3.1.4.8323329.2088.1517875171.99802
169,1.2.276.0.7230010.3.1.4.8323329.3112.1517875176.157055
